chemin,classe,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
jfreechart-master\src\main\java\module-info.java,module-info.java,42,2,0.047619047619047616,0,0.0
jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation.java,196,50,0.25510204081632654,15,0.017006802721088437
jfreechart-master\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation.java,184,48,0.2608695652173913,22,0.011857707509881422
jfreechart-master\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation.java,55,40,0.7272727272727273,0,0.0
jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java,CategoryAnnotation.java,58,40,0.6896551724137931,0,0.0
jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation.java,388,64,0.16494845360824742,46,0.0035858359480053785
jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation.java,478,86,0.1799163179916318,56,0.0032127913927077105
jfreechart-master\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation.java,244,51,0.20901639344262296,31,0.0067424643046007406
jfreechart-master\src\main\java\org\jfree\chart\annotations\package-info.java,package-info.java,3,2,0.6666666666666666,0,0.0
jfreechart-master\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,TextAnnotation.java,312,69,0.22115384615384615,40,0.005528846153846153
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,XYAnnotation.java,62,40,0.6451612903225806,0,0.0
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo.java,62,39,0.6290322580645161,3,0.20967741935483872
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation.java,340,62,0.18235294117647058,49,0.003721488595438175
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation.java,333,68,0.2042042042042042,48,0.004254254254254255
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation.java,268,59,0.22014925373134328,37,0.005949979830576845
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java,XYImageAnnotation.java,270,61,0.22592592592592592,36,0.006275720164609053
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,XYLineAnnotation.java,329,60,0.182370820668693,45,0.004052684903748734
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation.java,492,83,0.16869918699186992,58,0.0029086066722736194
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation.java,319,58,0.18181818181818182,42,0.004329004329004329
jfreechart-master\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation.java,270,57,0.2111111111111111,30,0.007037037037037037
