chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
jfreechart-master\src\main\java\org\jfree\chart\annotations,annotations,5601,1185,0.21156936261381895,691,3.0617852766109835E-4
jfreechart-master\src\main\java\org\jfree\chart\api,api,1330,563,0.42330827067669174,152,0.002784922833399288
jfreechart-master\src\main\java\org\jfree\chart\axis,axis,17519,3137,0.17906273189108968,2536,7.060833276462526E-5
jfreechart-master\src\main\java\org\jfree\chart\block,block,4935,1171,0.23728470111448835,737,3.2196024574557443E-4
jfreechart-master\src\main\java\org\jfree\chart\date,date,1323,271,0.20483749055177627,237,8.642932090792248E-4
jfreechart-master\src\main\java\org\jfree\chart\encoders,encoders,732,289,0.3948087431693989,44,0.008972925981122702
jfreechart-master\src\main\java\org\jfree\chart\entity,entity,2548,785,0.30808477237048665,319,9.65782985487419E-4
jfreechart-master\src\main\java\org\jfree\chart\event,event,1099,731,0.6651501364877161,29,0.022936211603024694
jfreechart-master\src\main\java\org\jfree\chart\imagemap,imagemap,637,316,0.49607535321821034,45,0.011023896738182453
jfreechart-master\src\main\java\org\jfree\chart\internal,internal,2130,401,0.18826291079812207,396,4.754113909043487E-4
jfreechart-master\src\main\java\org\jfree\chart\labels,labels,5398,1787,0.33104853649499816,533,6.211041960506532E-4
jfreechart-master\src\main\java\org\jfree\chart\legend,legend,3339,584,0.1749026654687032,477,3.666722546513694E-4
jfreechart-master\src\main\java\org\jfree\chart\plot\compass,compass,2310,583,0.2523809523809524,308,8.194186765615337E-4
jfreechart-master\src\main\java\org\jfree\chart\plot\dial,dial,5511,1035,0.18780620577027762,685,2.741696434602593E-4
jfreechart-master\src\main\java\org\jfree\chart\plot\flow,flow,756,104,0.13756613756613756,124,0.0011094043352107867
jfreechart-master\src\main\java\org\jfree\chart\plot\pie,pie,4318,662,0.15331171838814267,622,2.46481862360358E-4
jfreechart-master\src\main\java\org\jfree\chart\plot,plot,24955,3535,0.14165497896213183,3795,3.732674017447479E-5
jfreechart-master\src\main\java\org\jfree\chart\renderer\category,category,12531,1947,0.15537467081637538,1636,9.497229267504608E-5
jfreechart-master\src\main\java\org\jfree\chart\renderer\xy,xy,18196,2925,0.16074961530006596,2382,6.748514496224431E-5
jfreechart-master\src\main\java\org\jfree\chart\renderer,renderer,5709,1078,0.18882466281310212,827,2.2832486434474258E-4
jfreechart-master\src\main\java\org\jfree\chart\swing\editor,editor,3384,954,0.28191489361702127,355,7.941264608930177E-4
